,PGA,RuBP,fRB,fP,fZ,alphar,PSIId,fR,PR,Cc,Ccyt,Ci,Ca,H2OS,gsw,sumA
58.0,1.332585433721571e-05,7.012411524783806e-05,0.5405922779221235,0.657806786044526,0.10221418859965839,0.9795470698840146,0.9999975703435008,0.3052755537344658,8.537443326246677e-05,0.0002015005600515651,0.0002389524316586743,0.00024911630431254594,0.0003770680603709125,0.015609919070180833,0.09374111551134943,0.0
59.0,1.2445320376564657e-05,7.05993304886479e-05,0.5442891539323335,0.6639941124314513,0.10387612799077837,0.9792134228354961,0.999997568194633,0.30962475238230935,8.73317925029204e-05,0.00020089183250273623,0.00023854777743769834,0.0002487461785540116,0.0003770506293379439,0.015610239376788357,0.09380347301428503,0.0
60.0,1.1796947439337947e-05,7.094930788008502e-05,0.5479498106733592,0.6700673706861016,0.10553501908386974,0.97888039579375,0.9999975660543037,0.3139467236224667,8.927453435097873e-05,0.00020030985375484072,0.00023816514166079053,0.0002483965947985223,0.00037703423803399827,0.01561057138529392,0.09386575947016974,0.0
61.0,1.1303503668083006e-05,7.12157014306739e-05,0.5515746028450659,0.676028244483857,0.10719082436591063,0.9785479876067288,0.9999975639225284,0.3182416378611232,9.120227574100898e-05,0.00019974876825280181,0.00023779960641365022,0.00024806297706387833,0.00037701879382851433,0.01561091337074335,0.09392797495994708,0.0
62.0,1.090762710163892e-05,7.142945620695916e-05,0.5551638818833455,0.6818784999198114,0.10884351765609249,0.9782161971243953,0.999997561799304,0.32250966450269064,9.31148010043241e-05,0.00019920426148137746,0.00023744753511200744,0.00024774193777518216,0.0003770042044822729,0.015611263841797831,0.09399011956447388,0.0
63.0,1.0574758973773109e-05,7.160921627659938e-05,0.5587179958522489,0.6876200007257985,0.11049308591090343,0.9778850231988053,0.9999975596846056,0.3267509719129304,9.501200667579667e-05,0.0001986736197068183,0.00023710662370700724,0.0002474313262469936,0.00037699038266140675,0.015611621514598883,0.0940521933645168,0.0
64.0,1.0283826283184235e-05,7.176635262129657e-05,0.5622372893454155,0.693254652152009,0.11213952382630428,0.9775544646841836,0.9999975575783941,0.3309657273853414,9.689386809827577e-05,0.00019815512951673427,0.00023677542335460183,0.00024712978959808983,0.0003769772478678191,0.015611985295040699,0.09411419644074892,0.0
65.0,1.0023152162558094e-05,7.190716644693531e-05,0.5657221030024115,0.6987843713059194,0.11378283148583454,0.9772245204372491,0.9999975554806233,0.33515409698671805,9.876040888578382e-05,0.00019764774363537652,0.000236453044723107,0.0002468364955796805,0.00037696472924319185,0.015612354271048352,0.09417612887373564,0.0
66.0,9.783891103839062e-06,7.2036431343176e-05,0.5691727749039831,0.7042110639594295,0.11542301058677601,0.9768951893163536,0.999997553391244,0.3393162459858702,0.00010061166699294165,0.00019715061019505024,0.00023613875963824762,0.0002465507615230213,0.0003769527621514659,0.015612727625294425,0.0942379907439718,0.0
67.0,9.561013911907593e-06,7.215686119532677e-05,0.5725896396913974,0.7095366208081658,0.11706006500215962,0.9765664701820514,0.999997551310202,0.34345233857734053,0.00010244769858207433,0.00019666315564557756,0.00023583207571829183,0.00024627212463996937,0.0003769412899025968,0.015613104661727712,0.09429978213185705,0.0
